               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1022,             0.14159,            0.046987,             0.39657,             0.61505,             0.46699,             0.15334,             0.08703,            0.089264,            0.022381,            0.070222,           0.0033086,           0.0033086
                   1,            0.085019,             0.11793,            0.023524,             0.46092,             0.67246,             0.52092,             0.16871,            0.091493,            0.070038,            0.015713,            0.040189,           0.0066091,           0.0066091
                   2,            0.083345,             0.10403,            0.016649,             0.46075,             0.74754,             0.57951,             0.25355,            0.085198,            0.072248,            0.014098,            0.010123,           0.0098766,           0.0098766
                   3,            0.076263,             0.10139,            0.013759,             0.56406,             0.77613,              0.7722,             0.31096,            0.082371,            0.074963,            0.013812,           0.0098515,           0.0098515,           0.0098515
                   4,             0.07021,            0.099886,            0.011782,             0.78036,             0.92853,             0.91936,             0.40162,            0.071405,            0.076255,            0.012537,           0.0098515,           0.0098515,           0.0098515
                   5,            0.066393,            0.096707,            0.010889,             0.83716,             0.91724,             0.91308,             0.41005,            0.073396,            0.075343,            0.012792,            0.009802,            0.009802,            0.009802
                   6,            0.063629,            0.096669,           0.0098931,             0.92522,             0.96567,             0.96608,             0.50053,            0.069307,            0.075551,            0.011858,           0.0097525,           0.0097525,           0.0097525
                   7,            0.062228,            0.096768,           0.0097494,             0.85977,             0.95842,             0.95604,             0.46331,             0.06617,            0.072754,            0.011625,            0.009703,            0.009703,            0.009703
                   8,            0.062611,             0.09705,           0.0092691,             0.90808,             0.96413,             0.96225,             0.46646,            0.068893,            0.073639,            0.011506,           0.0096535,           0.0096535,           0.0096535
                   9,            0.059518,            0.095441,           0.0088241,             0.93398,             0.94036,             0.93452,             0.46672,            0.067317,             0.07379,            0.011401,            0.009604,            0.009604,            0.009604
                  10,            0.059313,            0.093251,           0.0085944,             0.93108,             0.95554,             0.94844,             0.48743,            0.069635,            0.073599,             0.01112,           0.0095545,           0.0095545,           0.0095545
                  11,            0.059447,            0.094393,           0.0085637,             0.92883,             0.96808,             0.96469,             0.47431,            0.067831,            0.074382,            0.011312,            0.009505,            0.009505,            0.009505
                  12,            0.058363,            0.094534,           0.0086119,             0.94946,             0.97195,             0.97139,             0.50874,            0.065457,            0.073334,            0.010915,           0.0094555,           0.0094555,           0.0094555
                  13,            0.057692,            0.092066,           0.0081962,             0.90901,              0.9248,             0.89726,             0.46906,            0.074003,            0.075025,            0.010948,            0.009406,            0.009406,            0.009406
                  14,            0.057164,             0.09169,           0.0081622,             0.97375,             0.97177,             0.97844,             0.53051,            0.063202,            0.073527,            0.011311,           0.0093565,           0.0093565,           0.0093565
                  15,            0.056469,             0.09287,           0.0081397,             0.96123,             0.96955,             0.97788,             0.51985,            0.066639,            0.074172,            0.010851,            0.009307,            0.009307,            0.009307
                  16,            0.055796,            0.091707,            0.007962,             0.96861,             0.97659,             0.97475,             0.49363,            0.063979,            0.076223,            0.011083,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055838,            0.094251,           0.0078041,             0.94048,             0.95084,             0.95157,             0.45576,            0.067445,            0.073867,            0.010774,            0.009208,            0.009208,            0.009208
                  18,            0.054624,            0.090015,           0.0078494,             0.96191,             0.96752,             0.96686,             0.53424,            0.065081,            0.075427,            0.011048,           0.0091585,           0.0091585,           0.0091585
                  19,            0.054566,            0.090872,           0.0077005,              0.9519,             0.97554,             0.97539,             0.50607,            0.065111,            0.074716,            0.010722,            0.009109,            0.009109,            0.009109
                  20,            0.055035,            0.091702,           0.0075211,             0.93846,             0.95191,             0.96834,             0.54363,            0.064156,            0.073598,             0.01075,           0.0090595,           0.0090595,           0.0090595
                  21,            0.054124,            0.090376,           0.0075504,             0.95465,              0.9584,             0.95702,             0.49568,            0.067287,            0.073858,            0.010648,             0.00901,             0.00901,             0.00901
                  22,            0.054011,            0.091441,           0.0072008,             0.95651,             0.95885,             0.95843,             0.48356,            0.066252,            0.075704,            0.010711,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05385,            0.088354,           0.0074665,             0.95352,             0.97658,             0.97102,             0.52654,            0.063988,            0.074593,            0.010533,            0.008911,            0.008911,            0.008911
                  24,            0.053124,            0.090199,           0.0071231,             0.94397,             0.93137,             0.94921,             0.53272,            0.067145,            0.078295,             0.01098,           0.0088615,           0.0088615,           0.0088615
                  25,             0.05328,            0.088794,           0.0071896,             0.95069,             0.97001,              0.9723,              0.5354,            0.062372,            0.073769,            0.010735,            0.008812,            0.008812,            0.008812
                  26,            0.052692,            0.088774,           0.0072005,             0.97276,             0.98076,             0.97811,             0.54548,             0.06411,            0.074242,            0.010526,           0.0087625,           0.0087625,           0.0087625
                  27,            0.051994,            0.091316,           0.0070832,             0.96831,             0.97389,              0.9751,             0.53919,            0.061015,            0.071849,            0.010904,            0.008713,            0.008713,            0.008713
                  28,             0.05219,            0.090318,           0.0071773,             0.96227,              0.9721,              0.9723,             0.51613,            0.065109,            0.075377,             0.01043,           0.0086635,           0.0086635,           0.0086635
                  29,            0.052414,            0.091081,           0.0069759,             0.96275,             0.97127,             0.96975,              0.5261,            0.064726,             0.07338,            0.010405,            0.008614,            0.008614,            0.008614
                  30,            0.051954,            0.087383,           0.0071297,             0.96286,             0.97461,             0.97178,             0.55287,            0.060543,            0.072301,            0.010666,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05228,            0.090618,           0.0070449,              0.9613,              0.9773,             0.97034,             0.52516,            0.064358,            0.076607,            0.010531,            0.008515,            0.008515,            0.008515
                  32,             0.05179,            0.088887,           0.0069951,             0.96508,             0.97912,             0.97734,             0.57567,            0.061018,            0.072131,            0.010386,           0.0084655,           0.0084655,           0.0084655
                  33,            0.051813,            0.089439,            0.007045,             0.95758,             0.96643,             0.96345,             0.54975,            0.062662,             0.07376,            0.010383,            0.008416,            0.008416,            0.008416
                  34,            0.050268,            0.087098,             0.00673,             0.96834,             0.97883,             0.97527,             0.57691,            0.060681,            0.072304,            0.010345,           0.0083665,           0.0083665,           0.0083665
                  35,            0.051369,            0.087563,           0.0069805,             0.96298,             0.96658,             0.96111,             0.53439,             0.06558,            0.074972,            0.010486,            0.008317,            0.008317,            0.008317
                  36,            0.051012,            0.088951,           0.0068559,             0.96716,             0.97327,             0.97027,             0.54321,            0.062439,            0.075242,            0.010676,           0.0082675,           0.0082675,           0.0082675
                  37,            0.050958,            0.087449,           0.0069187,             0.96473,                0.97,             0.97278,             0.55552,            0.063765,            0.076536,            0.010657,            0.008218,            0.008218,            0.008218
                  38,            0.050599,            0.087002,           0.0070921,             0.96688,             0.97125,             0.97053,             0.57039,            0.061763,             0.07202,            0.010226,           0.0081685,           0.0081685,           0.0081685
                  39,            0.050326,            0.088708,           0.0068202,             0.97336,             0.97681,             0.97827,             0.57975,            0.059361,            0.073972,            0.010572,            0.008119,            0.008119,            0.008119
                  40,            0.050203,            0.086871,           0.0067008,             0.95196,             0.96141,             0.94671,              0.5503,            0.064351,            0.076125,            0.010494,           0.0080695,           0.0080695,           0.0080695
                  41,            0.050541,            0.085252,            0.006903,             0.96856,             0.97197,             0.96664,             0.56282,             0.06258,               0.074,             0.01037,             0.00802,             0.00802,             0.00802
                  42,            0.050189,             0.08603,           0.0068544,             0.96832,             0.98204,              0.9747,             0.58591,            0.060957,            0.075715,            0.010671,           0.0079705,           0.0079705,           0.0079705
                  43,            0.050676,            0.087029,           0.0070775,             0.95689,             0.96761,             0.96026,             0.54615,            0.064338,            0.076032,            0.010337,            0.007921,            0.007921,            0.007921
                  44,            0.050389,            0.086348,           0.0068097,             0.95569,             0.97379,             0.96315,             0.55167,            0.064203,            0.076463,            0.010621,           0.0078715,           0.0078715,           0.0078715
                  45,            0.049711,            0.085599,           0.0065814,             0.95929,             0.96361,             0.96046,             0.52857,            0.064481,            0.076987,            0.010282,            0.007822,            0.007822,            0.007822
                  46,            0.049596,             0.08601,           0.0065761,             0.96497,             0.97444,               0.968,             0.56173,             0.06513,            0.075706,            0.010264,           0.0077725,           0.0077725,           0.0077725
                  47,            0.049077,            0.085966,           0.0066964,             0.95419,             0.96387,             0.96096,              0.5517,            0.064169,            0.075523,            0.010299,            0.007723,            0.007723,            0.007723
                  48,            0.048792,            0.085983,           0.0063288,             0.95747,             0.96468,             0.95822,             0.56378,             0.06426,            0.076374,            0.010203,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049266,             0.08622,           0.0064798,             0.96393,             0.97545,             0.97018,             0.58631,            0.061705,            0.074848,            0.010207,            0.007624,            0.007624,            0.007624
                  50,            0.049055,            0.086808,           0.0066891,             0.95813,             0.96451,             0.97053,             0.54426,            0.063528,            0.075961,            0.010281,           0.0075745,           0.0075745,           0.0075745
                  51,            0.048851,            0.084298,            0.006655,             0.96704,             0.97385,             0.96863,              0.5693,             0.06184,             0.07509,            0.010465,            0.007525,            0.007525,            0.007525
                  52,            0.049005,            0.084822,           0.0064333,             0.95944,              0.9705,             0.96524,             0.52277,            0.064083,            0.077418,            0.010268,           0.0074755,           0.0074755,           0.0074755
                  53,            0.048017,            0.082591,           0.0062915,              0.9585,             0.96763,             0.96868,             0.55175,            0.063488,            0.076605,            0.010277,            0.007426,            0.007426,            0.007426
                  54,            0.048996,            0.086208,           0.0064949,             0.96031,             0.97546,             0.97091,             0.56229,            0.063167,            0.075685,            0.010172,           0.0073765,           0.0073765,           0.0073765
                  55,            0.047971,            0.083842,           0.0061958,             0.96772,             0.97898,             0.97664,             0.58254,            0.061566,             0.07582,            0.010303,            0.007327,            0.007327,            0.007327
                  56,            0.048393,            0.084755,           0.0062928,             0.97085,             0.97868,             0.97474,             0.58203,            0.059544,            0.072805,            0.010102,           0.0072775,           0.0072775,           0.0072775
                  57,            0.048641,            0.082708,           0.0065472,               0.961,             0.96993,             0.96019,              0.5587,            0.062384,            0.079161,            0.010818,            0.007228,            0.007228,            0.007228
